,Symbol,Open,High,Low,Close,Volume,Market Cap
760,UNB,284.224688,317.791729,252.921209,286.415255,506282278.0,646006287.0
755,UBQ,954.667967,1034.830913,870.43816,954.191609,497266023.0,37138813034.22
142,BTX,4141.158292,4647.404804,3695.094344,4141.826502,494804337.0,54798849449.7
194,CNX,1448.301848,1565.23,1334.602158,1449.273485,491843743.0,70373475910.72
818,XCP,10831.25727,11764.421462,9958.291921,10815.351652,491479649.0,28397842420.0
319,FRGC,4095.383861,4224.090107,3921.666512,4089.774441,472987098.0,157034865051.68
313,FLO,48.617646,53.830007,44.51576,48.636213,470856018.9,6606802741.0
333,GBYTE,178968.95,193906.09,163153.98,178969.16,456503691.0,90358536576.96
302,EXP,1324.343799,1441.408765,1214.524475,1322.894741,454248610.0,11939085233.66
726,THC,41.768146,46.399789,37.213626,41.756647,443759196.0,9629013888.0
629,RADS,2634.667185,2878.119686,2435.7910190000002,2634.485713,440820873.0,10864355394.92
568,PART,4882.47,5332.69,4472.68,4882.92,424307519.0,41538281576.0
823,XEL,146.293078,162.419972,131.660962,145.586938,414232133.0,13201447624.48
654,SAK,81.464242,86.658988,76.402101,81.3836,395895086.0,299658302614.44
840,XP,0.117880607,0.141834041,0.096036275,0.117635649,392455337.0,42182589027.06
555,OMNI,31194.025889,34126.647484,28426.455274,31138.278503,388385141.59,18132698300.0
183,CLAM,3635.950139,3901.875929,3381.286263,3637.958305,352248952.0,8453999273.0
753,TX,559.450574,616.912296,510.452158,559.082546,345152785.0,3516761230.0
714,SYNX,167.346652,188.237586,152.095828,167.273199,342620715.0,2888747263.0
639,REC,3432.227794,3847.508937,3055.481784,3421.231224,325643191.0,22276904494.64
267,EDR,8532.75801,12888.041392000001,4405.744194,8002.298795000001,324895707.0,36655439531.58
451,LMC,30.091697,33.089317,27.173497,30.080767,323657480.0,18021766630.04
695,SPHR,1293.418098,1425.717983,1173.812794,1287.578138,310546450.0,3987187846.0
431,KORE,1440.592559,1594.483439,1306.010057,1441.541506,299513419.0,2885346566.0
262,EBST,97.752331,109.598231,86.393956,97.387468,287134366.0,25586391654.52
394,I0C,40.069664,59.858038,34.907068,40.224183,284948131.9,835666777.0
444,LEO,392.551771,425.657272,365.264757,390.190966,281862603.0,181658854977.2
157,CANN,27.394571,30.8986,24.854611,27.413052,267368255.0,2117917793.0
669,SHIFT,1058.341714,1161.279307,962.298913,1057.75602,260603008.0,54232760580.060005
509,MUE,65.801006,72.444071,60.131912,65.813744,259717793.0,8260998928.0
614,PURA,141.374246,155.352601,127.185408,141.161753,258984843.0,33654280565.440002
816,XCN,4.650434,5.315103,4.028355,4.604546,251743052.0,1350040896.0
22,ADK,8405.267098,9427.579235,7430.20176,8396.897859,245582213.0,77803263474.96
348,GO,4.85623,5.292986,4.410399,4.85899,243800149.0,7920953134.02
700,SSC,12.965512,13.746027,11.947051,12.823608,236097352.0,31033608756.32
521,NEOS,1828.339136,1990.439286,1678.69302,1827.589321,232223157.0,7589052331.96
699,SRC,106.867531,118.657586,96.539844,106.193583,232023465.13,471624641.0
116,BSD,291.834899,318.341216,269.579272,291.124671,229725669.0,6163598522.96
683,SMART,62.200012,73.160623,52.860409,62.125645,225587464.0,45430595251.18
186,CLUB,653.888664,711.175112,596.75937,653.926962,223400195.0,251206089505.14
810,XBC,35328.859864,38832.533452,32327.800008,35294.374096,222840523.0,3605701552.0
391,HYC,1.440911,1.5120770000000001,1.338067,1.414217,209974410.0,12175171499.26
863,XWC,40.705939,44.712914,37.800315,40.766765,207620409.0,10154987210.0
322,FRST,2441.156228,2564.343209,2285.755343,2439.795623,207058571.0,79286375465.62001
569,PASC,488.854539,535.071879,448.078196,489.878668,204011380.0,7914261840.0
260,DYN,1094.482792,1192.756975,1008.526969,1092.20341,203113869.0,3919950893.2200003
756,UBTC,16065.89,17910.98,14035.49,15579.03,203007158.0,70566300118.16
127,BTCD,46877.268764,51122.66072,43161.086793,46894.104177,200512266.0,60337661474.0
256,DTC,40.271413,45.523072,35.265991,39.865305,189915178.6,114578464.0
585,PINK,11.548956,12.609426000000001,10.598498,11.546986,189555747.0,5721608364.440001
671,SIB,672.18103,733.872552,621.344193,671.29012,189477679.0,10657267838.0
336,GCR,60.897744,67.809195,54.949018,61.142319,185086858.0,18380293933.260002
301,EXCL,506.756101,568.881703,464.045061,506.758305,183700532.0,2237392638.0
549,OCC,377.988105,427.048321,335.292802,373.403953,182488780.0,7515801980.200001
510,MUSIC,9.984335,10.889977,9.065088,9.977722,180879264.0,7388414011.14
713,SXC,14.93242,16.879646,13.095983,14.904321,180861512.54,1731057743.0
100,BLOCK,9212.352901,10020.590639,8473.527851,9220.952069,177161268.0,68500670076.04
839,XMY,3.614793,3.998358,3.251733,3.609654,176320647.0,5200194697.0
308,FIL,3516.93,3733.54,3247.11,3513.01,173950242.0,71808664556.86
1,$PAC,1.0389852865,1.1011424293,0.9803935453,1.0272850218,167722835.0,208698320660.16
529,NLG,60.973325,65.316372,57.03847,61.034395,166396046.0,22476609701.0
495,MOAC,1872.06,1978.58,1760.74,1859.74,164307846.0,50652625613.200005
356,GRC,28.870523,31.193188,26.814062,28.88379,164232647.0,15176862191.84
63,B2X,43050.248478,49531.210221,36768.676221,41875.10851,162948569.0,85226200494.82
448,LINDA,0.593827,0.670834,0.522232,0.59329,159920233.0,11071822254.24
795,W3C,0.108931,0.132254,0.078915,0.100028,156977926.0,54167089527.32
385,HTML,0.214533,0.242155,0.181434,0.214582,154626082.0,14932655447.28
697,SPR,396.450661,443.719793,356.439439,398.218021,152227819.0,3697383052.74
249,DOPE,21.956241,24.40573,19.98319,21.938887,149593770.0,2523675036.0
834,XMC,722.78,799.17,666.57,716.6,143887471.0,40004134926.14
243,DMD,4122.88322,4452.482535,3816.54079,4123.82227,141030945.24,10141665617.0
681,SLR,208.880158,230.892822,191.211399,209.076165,134117634.0,8015312388.0
201,CPC,579.442624,629.769453,530.913723,579.274286,127744797.0,21438215163.420002
242,DMC,207.909958,211.163143,204.462022,208.589604,125748751.0,167470726336.76
813,XBY,39.723706,44.136684,35.061615,39.667069,123511468.0,17725753989.74
800,WC,218.711002,240.748746,196.154585,217.425864,120873976.0,74541866322.0
765,UNO,54327.39,57824.47,51606.117149,54415.65,119153801.17999999,10730789988.0
325,FTO,1171.01,1219.27,1120.98,1163.6,117876118.0,28077436314.620003
588,PKB,198.37487,226.013463,178.099874,198.217185,117782835.0,944506883.0
230,DEM,28.829859,34.289266,25.163202,28.723869,116448310.35999998,492139738.0
26,AEON,960.303806,1055.145528,884.63464,961.947315,115614572.0,14509527289.0
83,BET,5.981721,7.338514,4.791598,5.868663,114049948.35999998,111093550647.78
450,LKK,104.192978,107.468015,100.419171,104.176396,111644982.0,27447016316.84
144,BU,3.129016,3.192025,3.028635,3.114399,105230650.0,3478620428.36
410,IOC,1000.856916,1101.246183,914.160352,999.813302,104192488.0,16461402904.0
581,PHR,607.413467,673.430864,540.699386,608.030199,103990055.0,10653026372.06
463,LUX,2680.554496,2961.54,2386.704519,2679.08484,103531796.0,5301464728.92
