,Symbol,Open,High,Low,Close,Volume,Market Cap
126,BTC,2165.48738756948,2234.527827185447,2088.6063062152602,2168.5801111672563,1353897887.024654,35681985396.21829
293,ETH,214.4151982543554,223.05146437630663,204.4937273641115,214.53015629703833,807400596.0574913,20831313731.197506
73,BCH,992.2955324074073,1056.033912037037,928.1755092592592,991.8406018518518,801055619.3287038,16691269963.984724
284,EOS,6.413294903083701,6.7860408281938325,6.002253462555066,6.420211486784141,588936259.585903,4788889840.267004
744,TRX,0.03720448947368421,0.04029787105263158,0.03396384473684211,0.037214278947368416,282428303.3842105,2448065666.8837895
628,QTUM,16.266178861788617,17.375833333333333,15.032154471544715,16.255955284552847,195955304.59756097,1180814950.7682927
849,XRP,0.15307110845295058,0.16247676927166402,0.14343938862307282,0.15337117862838917,184553990.8186337,5861890995.741096
19,ADA,0.2280600276243094,0.24317908839779004,0.2106484779005525,0.22812172375690606,173612377.51933703,5911534930.045525
292,ETC,12.43309089321608,13.10636609045226,11.727488320351759,12.441329996231156,169153512.2713568,1221822954.5134923
458,LTC,30.520404244567963,31.93601819100556,28.95066195048004,30.53823143001516,131659816.54562406,1592156389.9429004
182,CKUSD,0.9805786294117647,0.9966705,0.9619723235294118,0.9801009823529412,121463152.72941177,248472887.74
489,MIOTA,1.3028131059322032,1.3894816483050847,1.202262402542373,1.301928286016949,87892334.06355932,3621272324.4533896
520,NEO,30.683404427236315,32.50220157276369,28.51007823631509,30.690312432576768,87178461.24165554,1950201742.0264087
557,ONT,4.133627450980392,4.388921568627451,3.859558823529412,4.128921568627451,80815228.21568628,561784746.5963726
383,HT,2.718101265822785,2.838396624472574,2.578354430379747,2.719282700421941,78637349.55274262,190903118.47012657
134,BTG,110.6654705882353,119.76826470588234,101.02250000000001,109.24811764705882,68381819.95882353,1545515463.5210588
871,ZEC,231.85489270386267,249.59612303290416,211.30387696709585,226.03693848354794,55632346.24034335,601281572.2746781
372,HC,10.522648514851484,11.356930693069307,9.60910891089109,10.475222772277228,52074165.4009901,413003467.2442079
401,ICX,2.870555238095238,3.0982277976190473,2.603249794642857,2.8711250863095237,50002885.38095238,1037296219.3888689
223,DASH,122.61676224955542,128.51918394131596,116.20631481446354,122.69550443272081,36160032.203319505,952203816.5346769
136,BTM,0.3382260480769231,0.3579775168269231,0.3158206995192308,0.33835815384615386,35619715.615384616,330866495.15322113
774,VET,0.013954214285714287,0.014701142857142857,0.013057357142857143,0.013924428571428572,28498032.5,773824481.6071428
831,XLM,0.06570090759075907,0.06987648184818482,0.06128748778877888,0.06584942904290429,27974667.08778878,1166341450.19868
566,PAI,0.5794250705882353,0.6150100235294118,0.5269133294117647,0.5663863176470588,25126688.11764706,248472887.74
838,XMR,52.232775327672954,54.90956209371069,49.26212050566038,52.28989895660378,22165377.166037735,811663541.4672956
515,NAS,5.496019417475728,5.841326860841424,5.056601941747573,5.495663430420712,19169791.699029125,214643291.03682846
273,ELA,32.574351464435146,34.37887029288703,30.321171548117157,32.42556485355649,18645848.167364016,168579039.55271965
862,XVG,0.011568990237099024,0.012796235704323571,0.010396165969316596,0.011567714086471408,18629928.964435145,169710388.02859136
456,LSK,5.0047767502762435,5.373638620994475,4.635950612154696,5.006244629834254,15501850.293922652,559376654.5259669
71,BCD,12.316233766233767,13.984188311688312,10.715624584415584,12.10538961038961,14739389.285714285,337775345.7996104
513,NANO,3.8238104126126125,4.168682625225225,3.4025069315315317,3.8210202756756755,13948008.036036037,509218779.1076396
824,XEM,0.131118420846395,0.13958564968652037,0.12129091457680252,0.13100317319749216,12330058.387931034,1179919703.3832288
798,WAVES,3.0821331733490567,3.260607075471698,2.880377245283019,3.07976131014151,11526245.186320756,311486187.45408016
797,WAN,3.3268311957671957,3.5113020634920633,3.1230474550264553,3.310642894179894,10973851.947089948,341240566.3826455
140,BTS,0.07046942091503268,0.07521232026143791,0.06517698954248366,0.07050837647058823,10919905.105228757,182785336.6869281
18,ACT,0.22654483923705723,0.24501983378746595,0.2041565885558583,0.22572603269754768,10909979.008174388,106714990.80212533
706,STRAT,3.7294496731016733,3.999812954954955,3.432308108108108,3.731673749034749,10565252.407979408,368284849.98808235
803,WICC,0.72073843129771,0.7715270229007632,0.6653565648854962,0.7178138778625954,10460746.992366413,184171076.3916794
658,SC,0.00643739804964539,0.006955818262411347,0.005898866134751773,0.006438784574468085,10064797.009751773,205064371.139805
367,GXS,3.152221569565217,3.394326086956522,2.9276464934782607,3.1444674326086957,9330761.208695652,178152068.91865218
144,BU,0.22350114285714287,0.22800178571428573,0.21633107142857141,0.22245707142857143,7516475.0,248472887.74
519,NEBL,7.677680976377953,8.548866897637796,6.963395026246719,7.681779181102363,7332004.472440945,100310075.17711286
828,XIN,0.016464326869806097,0.018103155124653738,0.014740321329639889,0.016431116343490305,7329075.59833795,248472887.74
704,STEEM,1.3775950503919372,1.4845614804031355,1.2606209585666293,1.3764568891377378,7095196.041433371,314318559.5778276
544,NXT,0.06531329277998862,0.07101737123365548,0.059819393405343944,0.06538648720864128,6411308.081137009,65253150.650938034
246,DOGE,0.0012334639588100686,0.0013117419908466818,0.0011567471395881007,0.0012366670480549197,6398766.158100687,133660961.31922197
748,TTT,0.05126485135135135,0.054460472972972976,0.04753457432432432,0.05057330405405405,5785999.047297297,108492097.12756757
296,ETP,2.366401875,2.5594328166666664,2.1659689166666665,2.3524688104166667,5196916.725,95931898.67545834
42,ARDR,0.23804825377229083,0.257286877914952,0.21839797119341564,0.23768691769547326,5070831.300411522,243738427.09026062
