Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),SSL Handshake Time (ms),Connection Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
43.225.142.155,February 23 2023 5:44:04 AM ICT,Bangkok - TH,Up,200,63,70,40,253,24122,13.107.237.59,-
43.133.98.45,February 23 2023 5:38:36 AM ICT,Bangkok - TH,Up,200,616,73,70,881,24122,13.107.237.59,-
43.225.142.155,February 23 2023 5:33:17 AM ICT,Bangkok - TH,Up,200,155,38,4,277,24122,13.107.237.59,-
43.225.142.155,February 23 2023 5:28:00 AM ICT,Bangkok - TH,Up,200,80,14,6,183,24122,13.107.237.68,-
43.133.98.45,February 23 2023 5:22:43 AM ICT,Bangkok - TH,Up,200,79,54,22,210,24122,13.107.238.48,-
43.225.142.155,February 23 2023 5:17:23 AM ICT,Bangkok - TH,Up,200,40,19,9,150,24122,13.107.238.59,-
43.225.142.155,February 23 2023 5:12:05 AM ICT,Bangkok - TH,Up,200,6,61,26,181,24122,13.107.238.59,-
43.133.98.45,February 23 2023 5:06:48 AM ICT,Bangkok - TH,Up,200,65,54,22,227,24122,13.107.238.59,-
43.133.98.45,February 23 2023 5:01:33 AM ICT,Bangkok - TH,Up,200,80,62,22,198,24122,13.107.238.68,-
43.225.142.155,February 23 2023 4:56:07 AM ICT,Bangkok - TH,Up,200,66,57,25,184,24122,13.107.237.59,-
43.133.98.45,February 23 2023 4:50:46 AM ICT,Bangkok - TH,Up,200,33,14,2,126,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:45:27 AM ICT,Bangkok - TH,Up,200,153,56,24,314,24122,13.107.238.59,-
43.225.142.155,February 23 2023 4:40:14 AM ICT,Bangkok - TH,Up,200,38,56,24,194,24122,13.107.238.59,-
43.225.142.155,February 23 2023 4:34:58 AM ICT,Bangkok - TH,Up,200,70,67,26,254,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:29:37 AM ICT,Bangkok - TH,Up,200,41,110,25,244,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:24:20 AM ICT,Bangkok - TH,Up,200,33,62,30,210,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:19:01 AM ICT,Bangkok - TH,Up,200,35,20,6,171,24122,13.107.238.59,-
43.225.142.155,February 23 2023 4:13:46 AM ICT,Bangkok - TH,Up,200,36,58,25,154,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:08:25 AM ICT,Bangkok - TH,Up,200,55,13,3,151,24122,13.107.237.59,-
43.225.142.155,February 23 2023 4:03:02 AM ICT,Bangkok - TH,Up,200,67,204,26,357,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:57:42 AM ICT,Bangkok - TH,Up,200,33,57,24,194,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:52:32 AM ICT,Bangkok - TH,Up,200,41,47,40,241,24122,13.107.237.59,-
43.225.142.155,February 23 2023 3:47:09 AM ICT,Bangkok - TH,Up,200,157,60,25,333,24122,13.107.237.59,-
43.225.142.155,February 23 2023 3:41:43 AM ICT,Bangkok - TH,Up,200,65,13,5,170,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:36:24 AM ICT,Bangkok - TH,Up,200,72,19,6,178,24122,13.107.237.59,-
43.225.142.155,February 23 2023 3:31:03 AM ICT,Bangkok - TH,Up,200,1001,59,26,1170,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:25:36 AM ICT,Bangkok - TH,Up,200,2,16,18,116,24122,13.107.237.59,-
43.225.142.155,February 23 2023 3:20:17 AM ICT,Bangkok - TH,Up,200,38,19,6,145,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:14:56 AM ICT,Bangkok - TH,Up,200,65,13,4,195,24122,13.107.238.59,-
43.225.142.155,February 23 2023 3:09:35 AM ICT,Bangkok - TH,Up,200,65,16,5,168,24122,13.107.237.59,-
43.225.142.155,February 23 2023 3:04:16 AM ICT,Bangkok - TH,Up,200,68,59,26,238,24122,13.107.238.59,-
43.225.142.155,February 23 2023 2:58:55 AM ICT,Bangkok - TH,Up,200,125,58,25,289,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:53:28 AM ICT,Bangkok - TH,Up,200,3,58,28,126,24122,13.107.237.59,-
43.133.98.45,February 23 2023 2:48:07 AM ICT,Bangkok - TH,Up,200,33,161,2,278,24122,13.107.238.59,-
43.133.98.45,February 23 2023 2:42:46 AM ICT,Bangkok - TH,Up,200,305,63,54,458,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:37:28 AM ICT,Bangkok - TH,Up,200,64,54,26,190,24122,13.107.238.59,-
43.225.142.155,February 23 2023 2:32:07 AM ICT,Bangkok - TH,Up,200,5,15,5,134,24122,13.107.238.59,-
43.225.142.155,February 23 2023 2:26:45 AM ICT,Bangkok - TH,Up,200,65,55,25,194,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:21:22 AM ICT,Bangkok - TH,Up,200,121,14,5,224,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:15:55 AM ICT,Bangkok - TH,Up,200,66,58,25,230,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:10:37 AM ICT,Bangkok - TH,Up,200,69,59,30,196,24122,13.107.237.59,-
43.225.142.155,February 23 2023 2:05:17 AM ICT,Bangkok - TH,Up,200,116,14,4,166,24122,13.107.237.48,-
43.225.142.155,February 23 2023 2:00:00 AM ICT,Bangkok - TH,Up,200,64,56,25,196,24122,13.107.237.59,-
43.225.142.155,February 23 2023 1:54:41 AM ICT,Bangkok - TH,Up,200,1004,28,7,1076,24122,13.107.238.59,-
43.225.142.155,February 23 2023 1:49:21 AM ICT,Bangkok - TH,Up,200,68,59,25,234,24122,13.107.237.59,-
43.133.98.45,February 23 2023 1:44:08 AM ICT,Bangkok - TH,Up,200,81,96,25,260,24122,13.107.237.48,-
43.225.142.155,February 23 2023 1:38:44 AM ICT,Bangkok - TH,Up,200,73,55,24,215,24122,13.107.237.59,-
43.225.142.155,February 23 2023 1:33:26 AM ICT,Bangkok - TH,Up,200,68,16,6,173,24122,13.107.238.59,-
43.225.142.155,February 23 2023 1:28:05 AM ICT,Bangkok - TH,Up,200,122,22,8,185,24122,13.107.238.59,-
43.225.142.155,February 23 2023 1:22:43 AM ICT,Bangkok - TH,Up,200,36,57,25,226,24122,13.107.238.59,-
43.225.142.155,February 23 2023 1:17:21 AM ICT,Bangkok - TH,Up,200,31,59,25,151,24122,13.107.238.59,-
43.133.98.45,February 23 2023 1:12:04 AM ICT,Bangkok - TH,Up,200,223,90,22,423,24122,13.107.237.68,-
43.225.142.155,February 23 2023 1:06:43 AM ICT,Bangkok - TH,Up,200,63,57,26,245,24122,13.107.238.59,-
43.225.142.155,February 23 2023 1:01:25 AM ICT,Bangkok - TH,Up,200,156,17,5,211,24122,13.107.238.59,-
43.133.98.45,February 23 2023 12:55:58 AM ICT,Bangkok - TH,Up,200,81,68,22,244,24122,13.107.237.68,-
